"Stotelės Nr.","Pavadinimas","Lng","Lat"
"2226","Naujaneriai","25.34841","54.80173"
"2227","Naujaneriai","25.34928","54.80194"
"2228","Paežerys","25.33611","54.8003"
"2229","Paežerys","25.33534","54.80012"
"2230","Diemedis","25.32958","54.80323"
"2231","Diemedis","25.32974","54.80289"
"2232","Grūšiakalnis","25.37363","54.77553"
"2233","Gulbinų st.","25.31892","54.80584"
"2234","Gulbinų st.","25.31976","54.8056"
"2235","Pagubė","25.3132","54.80796"
"2236","Kryžiokai","25.35127","54.79161"
"2237","Sakališkės","25.32187","54.81469"
"2238","Krakiškės","25.34992","54.79594"
"2239","Krakiškės","25.35003","54.79522"
"2240","Užpalių st","25.35317","54.78655"
"2241","Kryžiokų sodai","25.36591","54.78884"
"2243","Bireliai","25.32066","54.82118"
"2244","Bireliai","25.32052","54.82099"
"2245","Birelių žiedas","25.3303","54.82336"
"2246","Juozapiškės","25.35237","54.80947"
"2247","Juozapiškės","25.3528","54.80698"
"2248","Europos parkas","25.35351","54.82507"
"2249","Sakališkės","25.32173","54.81465"
"2250","Pagubės sodai","25.32749","54.80599"
"2251","Pagubės sodai","25.32727","54.80638"
"2252","Pagubės sodai","25.32679","54.80621"
"2253","Ąžuolynas","25.32378","54.81125"
"2254","Ąžuolynas","25.32384","54.81099"
"2255","Austėjos st.","25.34554","54.77823"
"2256","Austėjos st.","25.34615","54.77817"
"2257","Žalčių st.","25.35032","54.77819"
"2258","Žalčių st.","25.35124","54.77807"
"2259","Balsių mokykla","25.3598","54.78058"
"2260","Krakiškių sodai","25.34014","54.80074"
"2261","Ragės st.","25.35139","54.78495"
"2262","Ragės st.","25.35194","54.78468"
"2263","Balsiai","25.34776","54.78604"
"2264","Krakiškių sodai","25.34074","54.80091"
"2265","Žaliojo Visalaukio st.","25.34072","54.7786"
"2267","Žaliojo Visalaukio st.","25.34044","54.77863"
"2296","Žilvičių st.","25.38114","54.70689"
"2297","Žilvičių st.","25.38076","54.70684"
"2298","Mileišiškės","25.34209","54.71172"
"2299","Mileišiškės","25.34174","54.71176"
"2300","Skirgiškės","25.3641","54.82865"
"2301","Mildos st.","25.3421","54.69302"
